Box,AIP,Full link
LCAAJ_Box075,LCAAJ_AnsSheet_ur_01-627570e3-4480-4f18-8efa-911f23f86094,/digital/preservation/RBML/LCAAJ/LCAAJ_AnsSheet_ur_01-627570e3-4480-4f18-8efa-911f23f86094/data/objects/Columbia_LCAAJ_14-003_Shipment001
LCAAJ_Box076,LCAAJ_AnsSheet_ur_01-627570e3-4480-4f18-8efa-911f23f86094,/digital/preservation/RBML/LCAAJ/LCAAJ_AnsSheet_ur_01-627570e3-4480-4f18-8efa-911f23f86094/data/objects/Columbia_LCAAJ_14-003_Shipment001
LCAAJ_Box077,LCAAJ_AnsSheet_ur_01-627570e3-4480-4f18-8efa-911f23f86094,/digital/preservation/RBML/LCAAJ/LCAAJ_AnsSheet_ur_01-627570e3-4480-4f18-8efa-911f23f86094/data/objects/Columbia_LCAAJ_14-003_Shipment001
LCAAJ_Box078,LCAAJ_AnsSheet_ur_01-627570e3-4480-4f18-8efa-911f23f86094,/digital/preservation/RBML/LCAAJ/LCAAJ_AnsSheet_ur_01-627570e3-4480-4f18-8efa-911f23f86094/data/objects/Columbia_LCAAJ_14-003_Shipment001
LCAAJ_Box079,LCAAJ_AnsSheet_ur_01-627570e3-4480-4f18-8efa-911f23f86094,/digital/preservation/RBML/LCAAJ/LCAAJ_AnsSheet_ur_01-627570e3-4480-4f18-8efa-911f23f86094/data/objects/Columbia_LCAAJ_14-003_Shipment001
LCAAJ_Box080,LCAAJ_AnsSheet_ur_02-d071d74f-fb60-4ca6-93e8-6c270865a896,/digital/preservation/RBML/LCAAJ/LCAAJ_AnsSheet_ur_02-d071d74f-fb60-4ca6-93e8-6c270865a896/data/objects/Columbia_LCAAJ_14-003_Shipment001
LCAAJ_Box081,LCAAJ_AnsSheet_ur_03-77bd1ee5-8ad7-4b7c-a7ee-caa34376a113,/digital/preservation/RBML/LCAAJ/LCAAJ_AnsSheet_ur_03-77bd1ee5-8ad7-4b7c-a7ee-caa34376a113/data/objects/Columbia_LCAAJ_14-003_Shipment001
LCAAJ_Box082,LCAAJ_AnsSheet_ur_04-1f0da992-a59a-42a0-a7de-e95c2e07f68d,/digital/preservation/RBML/LCAAJ/LCAAJ_AnsSheet_ur_04-1f0da992-a59a-42a0-a7de-e95c2e07f68d/data/objects/Columbia_LCAAJ_14-003_Shipment001
LCAAJ_Box083,LCAAJ_AnsSheet_ur_05-6eff03e9-f223-4879-884b-31c3a7736020,/digital/preservation/RBML/LCAAJ/LCAAJ_AnsSheet_ur_05-6eff03e9-f223-4879-884b-31c3a7736020/data/objects/Columbia_LCAAJ_14-003_Shipment001
LCAAJ_Box084,LCAAJ_AnsSheet_ur_06-06c98a9b-611b-428f-87f2-61b0924e8bf9,/digital/preservation/RBML/LCAAJ/LCAAJ_AnsSheet_ur_06-06c98a9b-611b-428f-87f2-61b0924e8bf9/data/objects/Columbia_LCAAJ_14-003_Shipment001
